slug,title,short_description,long_description,tags,artist,year,provider,source_institution,quality_score,quality_grade
durer-the-rhinoceros-unknown,The Rhinoceros Woodcut by Albrecht Dürer,"A restored public-domain woodcut featuring The Rhinoceros, refined for strong contrast and wearable impact on apparel.","The Rhinoceros is adapted from a public-domain woodcut by Albrecht Dürer (unknown). The original historical linework is preserved while being prepared for bold, high-contrast printing on shirts and other products.","the rhinoceros, woodcut, albrecht dürer, wikimedia commons, public domain",Albrecht Dürer,unknown,wikimedia,Wikimedia Commons,75,B
durer-the-four-horsemen-unknown,The Four Horsemen Woodcut by Albrecht Dürer,"A restored public-domain woodcut featuring The Four Horsemen, refined for strong contrast and wearable impact on apparel.","The Four Horsemen is adapted from a public-domain woodcut by Albrecht Dürer (unknown). The original historical linework is preserved while being prepared for bold, high-contrast printing on shirts and other products.","the four horsemen, woodcut, albrecht dürer, wikimedia commons, public domain",Albrecht Dürer,unknown,wikimedia,Wikimedia Commons,72,B
holbein-dance-of-death-the-cardinal-unknown,Dance of Death- The Cardinal Woodcut by Hans Holbein,"A restored public-domain woodcut featuring Dance of Death- The Cardinal, refined for strong contrast and wearable impact on apparel.","Dance of Death- The Cardinal is adapted from a public-domain woodcut by Hans Holbein (unknown). The original historical linework is preserved while being prepared for bold, high-contrast printing on shirts and other products.","dance of death- the cardinal, woodcut, hans holbein, wikimedia commons, public domain",Hans Holbein,unknown,wikimedia,Wikimedia Commons,82,A
