slug,title,artist,year,provider,quality_score,quality_grade,quality_reasons,source_institution
holbein-dance-of-death-the-cardinal-unknown,Dance of Death- The Cardinal,Hans Holbein,unknown,wikimedia,82,A,Excellent resolution for print | Commercially useful subject terms: death | Preview image available | Explicit reusable rights metadata,Wikimedia Commons
holbein-dance-of-death-the-coat-of-arms-of-death-1929-171-cleveland-museum-of-art-1929,Dance of Death- The Coat of Arms of Death - 1929.171 - Cleveland Museum of Art,Hans Holbein,1929,wikimedia,82,A,Excellent resolution for print | Commercially useful subject terms: death | Preview image available | Explicit reusable rights metadata,Wikimedia Commons
durer-the-rhinoceros-unknown,The Rhinoceros,Albrecht Dürer,unknown,wikimedia,75,B,Excellent resolution for print | Preview image available | Explicit reusable rights metadata,Wikimedia Commons
unknown-four-horsemen-of-the-apocalypse-by-d-rer-unknown,Four Horsemen of the Apocalypse by Dürer,Unknown,unknown,wikimedia,74,B,"Strong resolution for print | Commercially useful subject terms: apocalypse, horsemen | Preview image available | Explicit reusable rights metadata",Wikimedia Commons
durer-the-four-horsemen-unknown,The Four Horsemen,Albrecht Dürer,unknown,wikimedia,72,B,Strong resolution for print | Commercially useful subject terms: horsemen | Preview image available | Explicit reusable rights metadata,Wikimedia Commons
d-rer-the-rhinoceros-unknown,The Rhinoceros,Albrecht Dürer,unknown,wikimedia,65,B,Strong resolution for print | Preview image available | Explicit reusable rights metadata,Wikimedia Commons
